Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,GWFG,GWFG,0.9049
1.5,4.5,GWFG,GWFG,0.9877
3.0,6.0,GWFG,GWFG,0.9991
4.5,7.5,GWFG,GWFG,1.0000
6.0,9.0,GWFG,GWFG,0.9979
7.5,10.5,GWFG,GWFG,0.9995
9.0,12.0,GWFG,GWFG,0.9839
10.5,13.5,GWFG,GWFG,0.8595
12.0,15.0,GWFG,GWFG,0.3791
13.5,16.5,GWFG,GWFG,0.5157
19.5,22.5,phalarope,phalarope,0.1015
21.0,24.0,unkMF,unkMF,0.1702
30.0,33.0,WCSP,WCSP,0.2337
33.0,36.0,LALO,LALO,0.2023
33.0,36.0,SAVS,SAVS,0.1043
42.0,45.0,LESA,LESA,0.1967
42.0,45.0,LALO,LALO,0.1237
42.0,45.0,SAVS,SAVS,0.1053
43.5,46.5,LESA,LESA,0.4302
45.0,48.0,phalarope,phalarope,0.2330
45.0,48.0,SNBU,SNBU,0.1090
46.5,49.5,LALO,LALO,0.3473
48.0,51.0,BBPL,BBPL,0.5509
49.5,52.5,SAVS,SAVS,0.1000
51.0,54.0,BBPL,BBPL,0.4734
51.0,54.0,LALO,LALO,0.1810
52.5,55.5,LALO,LALO,0.4861
52.5,55.5,SNBU,SNBU,0.1432
54.0,57.0,SNBU,SNBU,0.4213
54.0,57.0,WCSP,WCSP,0.4138
55.5,58.5,LALO,LALO,0.1376
60.0,63.0,ARFO,ARFO,0.1624
61.5,64.5,unkMF,unkMF,0.1019
63.0,66.0,redpoll,redpoll,0.1158
64.5,67.5,unkMF,unkMF,0.1475
66.0,69.0,BBPL,BBPL,0.1197
66.0,69.0,phalarope,phalarope,0.1188
69.0,72.0,phalarope,phalarope,0.1473
72.0,75.0,SNBU,SNBU,0.9698
73.5,76.5,SNBU,SNBU,0.9990
75.0,78.0,SNBU,SNBU,0.9963
78.0,81.0,phalarope,phalarope,0.1190
79.5,82.5,SNBU,SNBU,0.3531
79.5,82.5,LALO,LALO,0.1108
81.0,84.0,SNBU,SNBU,0.2300
81.0,84.0,LALO,LALO,0.1438
82.5,85.5,PALO,PALO,0.2281
84.0,87.0,LALO,LALO,0.3620
84.0,87.0,WCSP,WCSP,0.1307
84.0,87.0,SNBU,SNBU,0.1284
85.5,88.5,SNBU,SNBU,0.2838
85.5,88.5,LALO,LALO,0.1395
88.5,91.5,WCSP,WCSP,0.8603
90.0,93.0,WCSP,WCSP,0.1235
90.0,93.0,LALO,LALO,0.1075
91.5,94.5,BBPL,BBPL,0.1289
93.0,96.0,LALO,LALO,0.2053
93.0,96.0,SAVS,SAVS,0.2008
93.0,96.0,WCSP,WCSP,0.1644
94.5,97.5,PALO,PALO,0.3492
96.0,99.0,PALO,PALO,0.1569
96.0,99.0,RTLO,RTLO,0.1410
97.5,100.5,SNBU,SNBU,0.1635
97.5,100.5,motor,motor,0.1146
97.5,100.5,LALO,LALO,0.1111
99.0,102.0,SNBU,SNBU,0.9941
100.5,103.5,SNBU,SNBU,0.9949
102.0,105.0,WCSP,WCSP,0.4221
108.0,111.0,RTLO,fc,0.2687
108.0,111.0,GWFG,GWFG,0.1287
109.5,112.5,RTLO,fc,0.3130
111.0,114.0,GWFG,GWFG,0.6494
112.5,115.5,GWFG,GWFG,0.1888
112.5,115.5,phalarope,phalarope,0.1438
112.5,115.5,LALO,LALO,0.1024
114.0,117.0,LALO,LALO,0.1606
114.0,117.0,phalarope,phalarope,0.1118
115.5,118.5,SNBU,SNBU,0.9978
117.0,120.0,SNBU,SNBU,0.9974
118.5,121.5,SNBU,SNBU,0.9663
120.0,123.0,PALO,PALO,0.2041
121.5,124.5,BBPL,BBPL,0.1534
123.0,126.0,BBPL,BBPL,0.6660
129.0,132.0,LALO,LALO,0.2092
129.0,132.0,WCSP,WCSP,0.1629
129.0,132.0,SAVS,SAVS,0.1254
130.5,133.5,LALO,LALO,0.1694
130.5,133.5,LESA,LESA,0.1417
130.5,133.5,SNBU,SNBU,0.1039
132.0,135.0,LALO,LALO,0.1423
132.0,135.0,BBPL,BBPL,0.1380
132.0,135.0,SNBU,SNBU,0.1230
133.5,136.5,LALO,LALO,0.6317
135.0,138.0,LALO,LALO,0.4129
135.0,138.0,SNBU,SNBU,0.1164
138.0,141.0,SAVS,SAVS,0.1401
139.5,142.5,LALO,LALO,0.2494
141.0,144.0,LALO,LALO,0.7313
142.5,145.5,LALO,LALO,0.4806
144.0,147.0,LALO,LALO,0.1156
148.5,151.5,RTLO,fc,0.2405
148.5,151.5,GWFG,GWFG,0.1758
150.0,153.0,GWFG,GWFG,0.2998
150.0,153.0,RTLO,fc,0.2494
154.5,157.5,SAVS,SAVS,0.1999
154.5,157.5,WCSP,WCSP,0.1952
156.0,159.0,PALO,PALO,0.1730
156.0,159.0,BBPL,BBPL,0.1004
157.5,160.5,LALO,LALO,0.2648
157.5,160.5,SNBU,SNBU,0.1212
