Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,RTLO,RTLO,0.1314
1.5,4.5,RTLO,RTLO,0.1983
3.0,6.0,RTLO,RTLO,0.1209
3.0,6.0,LALO,LALO,0.1031
7.5,10.5,LALO,LALO,0.1460
15.0,18.0,BBPL,BBPL,0.1083
24.0,27.0,BBPL,BBPL,0.1073
25.5,28.5,unkMF,unkMF,0.1504
28.5,31.5,RTLO,RTLO,0.9958
30.0,33.0,RTLO,RTLO,0.9982
31.5,34.5,RTLO,RTLO,0.9197
33.0,36.0,RTLO,RTLO,0.9520
36.0,39.0,LALO,LALO,0.1356
37.5,40.5,LALO,LALO,0.1052
39.0,42.0,LALO,LALO,0.1259
40.5,43.5,LALO,LALO,0.1012
48.0,51.0,RTLO,RTLO,0.9874
49.5,52.5,RTLO,RTLO,0.9659
51.0,54.0,BBPL,BBPL,0.4688
51.0,54.0,RTLO,RTLO,0.3295
52.5,55.5,BBPL,BBPL,0.7062
54.0,57.0,BBPL,BBPL,0.9686
55.5,58.5,BBPL,BBPL,0.9402
57.0,60.0,BBPL,BBPL,1.0000
58.5,61.5,BBPL,BBPL,0.9999
66.0,69.0,BARG,BARG,0.2548
66.0,69.0,SESA,SESA,0.1021
67.5,70.5,BARG,BARG,0.9433
69.0,72.0,BARG,BARG,0.6865
72.0,75.0,unkMF,unkMF,0.1233
75.0,78.0,LALO,LALO,0.1212
76.5,79.5,LALO,LALO,0.1144
78.0,81.0,RTLO,RTLO,0.2604
79.5,82.5,RTLO,RTLO,0.2678
79.5,82.5,motor,motor,0.2122
81.0,84.0,RTLO,RTLO,0.2186
81.0,84.0,motor,motor,0.1280
87.0,90.0,LALO,LALO,0.1533
87.0,90.0,unkMF,unkMF,0.1307
90.0,93.0,unkMF,unkMF,0.1271
103.5,106.5,unkMF,unkMF,0.1100
103.5,106.5,LALO,LALO,0.1046
105.0,108.0,LALO,LALO,0.1143
106.5,109.5,LALO,LALO,0.1209
108.0,111.0,unkMF,unkMF,0.1203
108.0,111.0,LALO,LALO,0.1166
109.5,112.5,LALO,LALO,0.1933
109.5,112.5,unkMF,unkMF,0.1662
115.5,118.5,LALO,LALO,0.1693
115.5,118.5,unkMF,unkMF,0.1134
118.5,121.5,unkMF,unkMF,0.1042
120.0,123.0,unkMF,unkMF,0.1553
123.0,126.0,RTLO,RTLO,0.1083
123.0,126.0,motor,motor,0.1025
124.5,127.5,RTLO,RTLO,0.2445
127.5,130.5,BBPL,BBPL,0.1259
129.0,132.0,unkMF,unkMF,0.1162
133.5,136.5,LALO,LALO,0.1474
136.5,139.5,LALO,LALO,0.1008
138.0,141.0,unkMF,unkMF,0.2314
138.0,141.0,LALO,LALO,0.1055
142.5,145.5,RTLO,RTLO,0.1798
144.0,147.0,RTLO,RTLO,0.4111
145.5,148.5,RTLO,RTLO,0.1345
153.0,156.0,RTLO,RTLO,0.1154
159.0,162.0,SESA,SESA,0.3283
160.5,163.5,SESA,SESA,0.1793
163.5,166.5,LALO,LALO,0.1611
165.0,168.0,unkMF,unkMF,0.1531
165.0,168.0,LALO,LALO,0.1345
166.5,169.5,unkMF,unkMF,0.1511
171.0,174.0,LALO,LALO,0.1189
178.5,181.5,LALO,LALO,0.1039
187.5,190.5,LALO,LALO,0.1361
187.5,190.5,unkMF,unkMF,0.1180
192.0,195.0,BBPL,BBPL,0.1174
204.0,207.0,LALO,LALO,0.1293
213.0,216.0,unkMF,unkMF,0.1155
213.0,216.0,LALO,LALO,0.1094
217.5,220.5,LALO,LALO,0.1174
219.0,222.0,unkMF,unkMF,0.1680
219.0,222.0,BBPL,BBPL,0.1318
220.5,223.5,unkMF,unkMF,0.1188
223.5,226.5,LALO,LALO,0.1503
223.5,226.5,unkMF,unkMF,0.1343
229.5,232.5,LALO,LALO,0.1028
237.0,240.0,LALO,LALO,0.1054
238.5,241.5,LALO,LALO,0.1425
240.0,243.0,LALO,LALO,0.1388
255.0,258.0,RTLO,RTLO,0.1299
259.5,262.5,BBPL,BBPL,0.1204
264.0,267.0,LALO,LALO,0.1199
265.5,268.5,LALO,LALO,0.1332
267.0,270.0,LALO,LALO,0.1306
268.5,271.5,LALO,LALO,0.1417
274.5,277.5,unkMF,unkMF,0.1216
274.5,277.5,LALO,LALO,0.1131
276.0,279.0,LALO,LALO,0.1310
280.5,283.5,unkMF,unkMF,0.1987
282.0,285.0,unkMF,unkMF,0.1455
283.5,286.5,BBPL,BBPL,0.1752
283.5,286.5,unkMF,unkMF,0.1180
289.5,292.5,LALO,LALO,0.1847
291.0,294.0,unkMF,unkMF,0.1042
292.5,295.5,BBPL,BBPL,0.1082
