Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,phalarope,phalarope,0.1329
4.5,7.5,phalarope,phalarope,0.1783
6.0,9.0,phalarope,phalarope,0.3416
7.5,10.5,phalarope,phalarope,0.1138
9.0,12.0,phalarope,phalarope,0.1063
10.5,13.5,phalarope,phalarope,0.1913
13.5,16.5,phalarope,phalarope,0.2003
21.0,24.0,phalarope,phalarope,0.1036
22.5,25.5,phalarope,phalarope,0.1556
40.5,43.5,phalarope,phalarope,0.1139
51.0,54.0,phalarope,phalarope,0.2841
52.5,55.5,phalarope,phalarope,0.1847
64.5,67.5,phalarope,phalarope,0.1905
66.0,69.0,phalarope,phalarope,0.1605
70.5,73.5,phalarope,phalarope,0.1874
72.0,75.0,phalarope,phalarope,0.1333
75.0,78.0,phalarope,phalarope,0.1072
82.5,85.5,WCSP,WCSP,0.2357
115.5,118.5,ATSP,ATSP,0.1616
117.0,120.0,phalarope,phalarope,0.2687
127.5,130.5,phalarope,phalarope,0.1797
129.0,132.0,ATSP,ATSP,0.1895
130.5,133.5,phalarope,phalarope,0.1447
136.5,139.5,phalarope,phalarope,0.1726
138.0,141.0,phalarope,phalarope,0.1331
142.5,145.5,phalarope,phalarope,0.2765
144.0,147.0,ATSP,ATSP,0.3021
145.5,148.5,ATSP,ATSP,0.1530
147.0,150.0,phalarope,phalarope,0.1554
162.0,165.0,phalarope,phalarope,0.1432
171.0,174.0,phalarope,phalarope,0.2821
175.5,178.5,phalarope,phalarope,0.1488
177.0,180.0,ATSP,ATSP,0.1074
181.5,184.5,ATSP,ATSP,0.1357
184.5,187.5,phalarope,phalarope,0.1778
189.0,192.0,phalarope,phalarope,0.1682
196.5,199.5,phalarope,phalarope,0.1108
201.0,204.0,phalarope,phalarope,0.1024
211.5,214.5,phalarope,phalarope,0.2299
217.5,220.5,phalarope,phalarope,0.1173
219.0,222.0,phalarope,phalarope,0.1193
220.5,223.5,phalarope,phalarope,0.1081
223.5,226.5,phalarope,phalarope,0.1101
234.0,237.0,ATSP,ATSP,0.1219
243.0,246.0,phalarope,phalarope,0.1526
244.5,247.5,phalarope,phalarope,0.1242
285.0,288.0,phalarope,phalarope,0.1243
291.0,294.0,ATSP,ATSP,0.3803
292.5,295.5,ATSP,ATSP,0.4106
295.5,298.5,phalarope,phalarope,0.1327
