Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,WIPT,WIPT,0.1228
10.5,13.5,LALO,LALO,0.1122
12.0,15.0,RTLO,RTLO,0.1585
13.5,16.5,RTLO,RTLO,0.1227
15.0,18.0,RTLO,RTLO,0.1020
36.0,39.0,WIPT,WIPT,0.1244
46.5,49.5,RTLO,RTLO,0.1552
48.0,51.0,LALO,LALO,0.1173
49.5,52.5,unkMF,unkMF,0.1189
81.0,84.0,RTLO,RTLO,0.1067
90.0,93.0,RTLO,RTLO,0.1109
94.5,97.5,BBPL,BBPL,0.4778
96.0,99.0,BBPL,BBPL,0.2079
96.0,99.0,unkMF,unkMF,0.1132
97.5,100.5,BBPL,BBPL,0.8913
111.0,114.0,unkMF,unkMF,0.1157
111.0,114.0,RTLO,RTLO,0.1028
117.0,120.0,unkMF,unkMF,0.1072
120.0,123.0,LALO,LALO,0.1167
121.5,124.5,LALO,LALO,0.1059
126.0,129.0,RTLO,RTLO,0.1424
127.5,130.5,RTLO,RTLO,0.1031
132.0,135.0,unkMF,unkMF,0.1527
150.0,153.0,unkMF,unkMF,0.1985
150.0,153.0,LALO,LALO,0.1232
151.5,154.5,WIPT,WIPT,0.1444
165.0,168.0,RTLO,RTLO,0.2078
169.5,172.5,RTLO,RTLO,0.1072
171.0,174.0,RTLO,RTLO,0.1051
172.5,175.5,RTLO,RTLO,0.2097
174.0,177.0,RTLO,RTLO,0.1241
177.0,180.0,RTLO,RTLO,0.1085
180.0,183.0,RTLO,RTLO,0.1619
181.5,184.5,RTLO,RTLO,0.1178
187.5,190.5,RTLO,RTLO,0.1128
193.5,196.5,unkMF,unkMF,0.1430
199.5,202.5,RTLO,RTLO,0.1094
199.5,202.5,LALO,LALO,0.1058
205.5,208.5,unkMF,unkMF,0.1844
217.5,220.5,RTLO,RTLO,0.1558
219.0,222.0,RTLO,RTLO,0.1280
222.0,225.0,unkMF,unkMF,0.1008
226.5,229.5,RTLO,RTLO,0.1152
232.5,235.5,unkMF,unkMF,0.1011
235.5,238.5,RTLO,RTLO,0.1132
237.0,240.0,RTLO,RTLO,0.1305
238.5,241.5,RTLO,RTLO,0.1562
247.5,250.5,RTLO,RTLO,0.1800
249.0,252.0,RTLO,RTLO,0.1501
250.5,253.5,RTLO,RTLO,0.1392
252.0,255.0,RTLO,RTLO,0.2008
253.5,256.5,RTLO,RTLO,0.1233
255.0,258.0,RTLO,RTLO,0.1587
256.5,259.5,RTLO,RTLO,0.1530
259.5,262.5,RTLO,RTLO,0.1188
261.0,264.0,RTLO,RTLO,0.1756
264.0,267.0,PALO,PALO,0.2928
264.0,267.0,RTLO,RTLO,0.1122
265.5,268.5,PALO,PALO,0.2892
265.5,268.5,RTLO,RTLO,0.1163
267.0,270.0,RTLO,RTLO,0.1246
268.5,271.5,RTLO,RTLO,0.1135
274.5,277.5,RTLO,RTLO,0.1045
276.0,279.0,RTLO,RTLO,0.1912
277.5,280.5,PALO,PALO,0.2490
277.5,280.5,RTLO,fc,0.1151
283.5,286.5,LALO,LALO,0.1411
294.0,297.0,LALO,LALO,0.1162
295.5,298.5,unkMF,unkMF,0.1424
295.5,298.5,LALO,LALO,0.1122
