Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,BBPL,BBPL,0.7584
3.0,6.0,BBPL,BBPL,0.3527
4.5,7.5,BBPL,BBPL,0.3127
6.0,9.0,LALO,LALO,0.1701
6.0,9.0,SNBU,SNBU,0.1360
7.5,10.5,ARFO,ARFO,0.1533
10.5,13.5,phalarope,phalarope,0.1283
15.0,18.0,SAVS,SAVS,0.1188
15.0,18.0,LALO,LALO,0.1091
16.5,19.5,WCSP,WCSP,0.3261
16.5,19.5,LESA,LESA,0.1902
21.0,24.0,phalarope,phalarope,0.1149
31.5,34.5,LALO,LALO,0.1837
33.0,36.0,LALO,LALO,0.2670
34.5,37.5,LALO,LALO,0.1409
42.0,45.0,phalarope,phalarope,0.4207
43.5,46.5,phalarope,phalarope,0.3010
45.0,48.0,WIPT,WIPT,0.4344
46.5,49.5,WIPT,WIPT,0.9578
48.0,51.0,WIPT,WIPT,0.9999
54.0,57.0,phalarope,phalarope,0.1054
57.0,60.0,phalarope,phalarope,0.1151
63.0,66.0,LALO,LALO,0.2441
63.0,66.0,SNBU,SNBU,0.1027
64.5,67.5,LALO,LALO,0.1161
69.0,72.0,phalarope,phalarope,0.1069
75.0,78.0,LALO,LALO,0.1953
75.0,78.0,SNBU,SNBU,0.1526
78.0,81.0,RTLO,RTLO,0.9346
79.5,82.5,RTLO,RTLO,0.2168
82.5,85.5,phalarope,phalarope,0.1180
82.5,85.5,LALO,LALO,0.1157
84.0,87.0,phalarope,phalarope,0.1369
93.0,96.0,LALO,LALO,0.1480
93.0,96.0,SAVS,SAVS,0.1181
96.0,99.0,phalarope,phalarope,0.1279
100.5,103.5,phalarope,phalarope,0.1209
102.0,105.0,LALO,LALO,0.2625
103.5,106.5,WCSP,WCSP,0.6215
103.5,106.5,LALO,LALO,0.6179
106.5,109.5,SNBU,SNBU,0.9492
108.0,111.0,redpoll,redpoll,0.3531
108.0,111.0,LALO,LALO,0.1489
109.5,112.5,SAVS,SAVS,0.1264
115.5,118.5,phalarope,phalarope,0.1213
117.0,120.0,LALO,LALO,0.4032
118.5,121.5,LALO,LALO,0.9578
120.0,123.0,LALO,LALO,0.2832
120.0,123.0,unkMF,unkMF,0.1029
123.0,126.0,LALO,LALO,0.3490
123.0,126.0,SNBU,SNBU,0.2050
124.5,127.5,WCSP,WCSP,0.2265
126.0,129.0,LALO,LALO,0.9367
127.5,130.5,LALO,LALO,0.9873
129.0,132.0,phalarope,phalarope,0.2836
132.0,135.0,LALO,LALO,0.2052
133.5,136.5,LALO,LALO,0.2720
141.0,144.0,WCSP,WCSP,0.3756
144.0,147.0,ATSP,ATSP,0.2049
145.5,148.5,phalarope,phalarope,0.1138
148.5,151.5,phalarope,phalarope,0.1119
156.0,159.0,LALO,LALO,0.1934
160.5,163.5,BBPL,BBPL,0.1190
168.0,171.0,phalarope,phalarope,0.1076
174.0,177.0,SNBU,SNBU,0.3127
175.5,178.5,SNBU,SNBU,0.4760
175.5,178.5,LALO,LALO,0.1420
177.0,180.0,phalarope,phalarope,0.2200
181.5,184.5,phalarope,phalarope,0.1045
186.0,189.0,BBPL,BBPL,0.2992
187.5,190.5,phalarope,phalarope,0.1255
189.0,192.0,phalarope,phalarope,0.1606
190.5,193.5,WIPT,WIPT,0.9813
192.0,195.0,WIPT,WIPT,0.9856
193.5,196.5,unkMF,unkMF,0.2095
195.0,198.0,unkMF,unkMF,0.6731
199.5,202.5,phalarope,phalarope,0.1243
204.0,207.0,phalarope,phalarope,0.1451
207.0,210.0,phalarope,phalarope,0.1429
211.5,214.5,phalarope,phalarope,0.1039
217.5,220.5,phalarope,phalarope,0.2633
219.0,222.0,phalarope,phalarope,0.2856
222.0,225.0,phalarope,phalarope,0.1464
231.0,234.0,phalarope,phalarope,0.1731
238.5,241.5,phalarope,phalarope,0.3237
253.5,256.5,phalarope,phalarope,0.1451
261.0,264.0,phalarope,phalarope,0.1838
265.5,268.5,WIPT,WIPT,0.3607
267.0,270.0,WIPT,WIPT,0.3775
273.0,276.0,BBPL,BBPL,0.1266
277.5,280.5,phalarope,phalarope,0.1353
283.5,286.5,phalarope,phalarope,0.1016
286.5,289.5,phalarope,phalarope,0.1340
288.0,291.0,phalarope,phalarope,0.1446
295.5,298.5,BBPL,BBPL,0.3067
