spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
SESA,0.875,0.21019,0.29787,0.875,0.21019,0.29787,0.875,0.19427,0.31461,0.84375,0.13694,0.38571,0.84375,0.11465,0.42857,0.8125,0.0828,0.5,0.71875,0.07006,0.51111,0.6875,0.05732,0.55,0.6875,0.05096,0.57895,0.625,0.05096,0.55556,0.59375,0.0414,0.59375,0.59375,0.03822,0.6129,0.5625,0.03822,0.6,0.53125,0.03503,0.60714,0.5,0.03503,0.59259,0.5,0.02548,0.66667,0.5,0.02229,0.69565,0.5,0.02229,0.69565,0.46875,0.02229,0.68182,0.15625,0.01274,0.55556
unkHF,,0.06647,0.0,,0.06647,0.0,,0.0578,0.0,,0.04046,0.0,,0.04046,0.0,,0.03757,0.0,,0.02312,0.0,,0.02312,0.0,,0.01156,0.0,,0.00867,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0
WESA,1.0,0.16232,0.01754,1.0,0.16232,0.01754,1.0,0.13913,0.02041,1.0,0.08696,0.03226,1.0,0.06667,0.04167,1.0,0.04638,0.05882,1.0,0.03478,0.07692,1.0,0.02609,0.1,1.0,0.01739,0.14286,1.0,0.01449,0.16667,1.0,0.01449,0.16667,1.0,0.01159,0.2,1.0,0.01159,0.2,1.0,0.0087,0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,
Human,,0.04624,0.0,,0.04624,0.0,,0.03757,0.0,,0.01156,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
unkLF,0.4,0.10714,0.1,0.4,0.10714,0.1,0.3,0.09226,0.08824,0.3,0.04167,0.17647,0.3,0.02083,0.3,0.3,0.01488,0.375,0.3,0.00893,0.5,0.3,0.00893,0.5,0.3,0.00893,0.5,0.3,0.00893,0.5,0.3,0.00595,0.6,0.3,0.00595,0.6,0.2,0.00595,0.5,0.2,0.00595,0.5,0.2,0.00595,0.5,0.2,0.00298,0.66667,0.2,0.00298,0.66667,0.2,0.00298,0.66667,0.0,0.00298,0.0,0.0,0.0,
insect,0.5,0.07647,0.10345,0.5,0.07647,0.10345,0.5,0.06471,0.12,0.33333,0.05588,0.09524,0.33333,0.04706,0.11111,0.33333,0.03824,0.13333,0.33333,0.03824,0.13333,0.33333,0.03529,0.14286,0.33333,0.03235,0.15385,0.16667,0.02941,0.09091,0.16667,0.02941,0.09091,0.16667,0.02647,0.1,0.16667,0.02353,0.11111,0.16667,0.02353,0.11111,0.0,0.02059,0.0,0.0,0.02059,0.0,0.0,0.01471,0.0,0.0,0.01176,0.0,0.0,0.01176,0.0,0.0,0.0,
LESA,,0.17919,0.0,,0.17919,0.0,,0.1763,0.0,,0.13584,0.0,,0.12139,0.0,,0.10116,0.0,,0.08382,0.0,,0.06936,0.0,,0.06358,0.0,,0.05202,0.0,,0.04046,0.0,,0.03468,0.0,,0.0289,0.0,,0.02312,0.0,,0.02023,0.0,,0.01445,0.0,,0.01156,0.0,,0.01156,0.0,,0.00867,0.0,,0.0,
SNBU,,0.45087,0.0,,0.45087,0.0,,0.43353,0.0,,0.36416,0.0,,0.32081,0.0,,0.27457,0.0,,0.25723,0.0,,0.23699,0.0,,0.20809,0.0,,0.19075,0.0,,0.16474,0.0,,0.15029,0.0,,0.13873,0.0,,0.11272,0.0,,0.10116,0.0,,0.07803,0.0,,0.07514,0.0,,0.0578,0.0,,0.03468,0.0,,0.0,
DUNL,0.93103,0.30208,0.38298,0.93103,0.30208,0.38298,0.93103,0.25,0.42857,0.91379,0.19444,0.48624,0.86207,0.125,0.5814,0.82759,0.10764,0.60759,0.82759,0.09028,0.64865,0.81034,0.07639,0.68116,0.81034,0.0625,0.72308,0.7931,0.0625,0.71875,0.77586,0.05556,0.7377,0.77586,0.04514,0.77586,0.77586,0.04514,0.77586,0.75862,0.04167,0.78571,0.74138,0.04167,0.78182,0.72414,0.03819,0.79245,0.67241,0.03819,0.78,0.63793,0.03819,0.77083,0.58621,0.03472,0.77273,0.2931,0.0,1.0
unkMF,0.66667,0.74018,0.03922,0.66667,0.74018,0.03922,0.6,0.68882,0.03797,0.53333,0.48338,0.04762,0.33333,0.30816,0.04673,0.26667,0.21148,0.05405,0.26667,0.16314,0.06897,0.26667,0.15106,0.07407,0.26667,0.12085,0.09091,0.26667,0.10876,0.1,0.13333,0.09366,0.06061,0.13333,0.08157,0.06897,0.06667,0.07251,0.04,0.06667,0.0574,0.05,0.0,0.04834,0.0,0.0,0.03927,0.0,0.0,0.03021,0.0,0.0,0.02719,0.0,0.0,0.01813,0.0,0.0,0.00302,0.0
