Start (s),End (s),Scientific name,Common name,Confidence
99.0,102.0,Anser albifrons,Greater White-fronted Goose,0.1827
132.0,135.0,Clangula hyemalis,Long-tailed Duck,0.1016
141.0,144.0,Anser albifrons,Greater White-fronted Goose,0.1324
148.5,151.5,Anser albifrons,Greater White-fronted Goose,0.2359
150.0,153.0,Anser albifrons,Greater White-fronted Goose,0.9643
154.5,157.5,Anser albifrons,Greater White-fronted Goose,0.6146
156.0,159.0,Anser albifrons,Greater White-fronted Goose,0.9119
157.5,160.5,Anser albifrons,Greater White-fronted Goose,0.5904
159.0,162.0,Anser albifrons,Greater White-fronted Goose,0.7197
160.5,163.5,Anser albifrons,Greater White-fronted Goose,0.6203
166.5,169.5,Anser albifrons,Greater White-fronted Goose,0.2024
