Start (s),End (s),Scientific name,Common name,Confidence
27.0,30.0,Bartramia longicauda,Upland Sandpiper,0.1854
270.0,273.0,Limosa lapponica,Bar-tailed Godwit,0.4904
271.5,274.5,Limosa lapponica,Bar-tailed Godwit,0.5084
273.0,276.0,Limosa lapponica,Bar-tailed Godwit,0.1836
274.5,277.5,Limosa lapponica,Bar-tailed Godwit,0.3287
276.0,279.0,Limosa lapponica,Bar-tailed Godwit,0.3281
277.5,280.5,Limosa lapponica,Bar-tailed Godwit,0.2598
286.5,289.5,Limosa lapponica,Bar-tailed Godwit,0.3522
288.0,291.0,Limosa lapponica,Bar-tailed Godwit,0.2620
291.0,294.0,Limosa lapponica,Bar-tailed Godwit,0.1592
292.5,295.5,Limosa lapponica,Bar-tailed Godwit,0.1317
