Start (s),End (s),Scientific name,Common name,Confidence
9.0,12.0,Phalaropus lobatus,Red-necked Phalarope,0.1480
10.5,13.5,Phalaropus lobatus,Red-necked Phalarope,0.2201
12.0,15.0,Phalaropus lobatus,Red-necked Phalarope,0.4183
25.5,28.5,Phalaropus lobatus,Red-necked Phalarope,0.8234
27.0,30.0,Phalaropus lobatus,Red-necked Phalarope,0.5599
28.5,31.5,Phalaropus lobatus,Red-necked Phalarope,0.3857
31.5,34.5,Phalaropus lobatus,Red-necked Phalarope,0.6252
33.0,36.0,Phalaropus lobatus,Red-necked Phalarope,0.8910
34.5,37.5,Phalaropus lobatus,Red-necked Phalarope,0.1208
36.0,39.0,Phalaropus lobatus,Red-necked Phalarope,0.2178
52.5,55.5,Phalaropus lobatus,Red-necked Phalarope,0.1247
54.0,57.0,Phalaropus lobatus,Red-necked Phalarope,0.2414
58.5,61.5,Phalaropus lobatus,Red-necked Phalarope,0.1718
60.0,63.0,Phalaropus lobatus,Red-necked Phalarope,0.5386
61.5,64.5,Phalaropus lobatus,Red-necked Phalarope,0.5359
67.5,70.5,Phalaropus lobatus,Red-necked Phalarope,0.9577
69.0,72.0,Phalaropus lobatus,Red-necked Phalarope,0.9467
70.5,73.5,Phalaropus lobatus,Red-necked Phalarope,0.9989
72.0,75.0,Phalaropus lobatus,Red-necked Phalarope,0.9379
73.5,76.5,Phalaropus lobatus,Red-necked Phalarope,0.9126
75.0,78.0,Phalaropus lobatus,Red-necked Phalarope,0.9849
76.5,79.5,Phalaropus lobatus,Red-necked Phalarope,0.9650
81.0,84.0,Phalaropus lobatus,Red-necked Phalarope,0.9667
82.5,85.5,Phalaropus lobatus,Red-necked Phalarope,0.8479
97.5,100.5,Phalaropus lobatus,Red-necked Phalarope,0.6900
99.0,102.0,Phalaropus lobatus,Red-necked Phalarope,0.5852
100.5,103.5,Phalaropus lobatus,Red-necked Phalarope,0.1191
142.5,145.5,Phalaropus lobatus,Red-necked Phalarope,0.6021
144.0,147.0,Phalaropus lobatus,Red-necked Phalarope,0.5122
148.5,151.5,Phalaropus lobatus,Red-necked Phalarope,0.1942
150.0,153.0,Phalaropus lobatus,Red-necked Phalarope,0.2171
178.5,181.5,Phalaropus lobatus,Red-necked Phalarope,0.3718
180.0,183.0,Phalaropus lobatus,Red-necked Phalarope,0.4598
199.5,202.5,Phalaropus lobatus,Red-necked Phalarope,0.2061
201.0,204.0,Phalaropus lobatus,Red-necked Phalarope,0.2704
202.5,205.5,Phalaropus lobatus,Red-necked Phalarope,0.2546
205.5,208.5,Phalaropus lobatus,Red-necked Phalarope,0.5027
207.0,210.0,Phalaropus lobatus,Red-necked Phalarope,0.1141
210.0,213.0,Phalaropus lobatus,Red-necked Phalarope,0.1154
211.5,214.5,Phalaropus lobatus,Red-necked Phalarope,0.3057
213.0,216.0,Phalaropus lobatus,Red-necked Phalarope,0.4880
214.5,217.5,Phalaropus lobatus,Red-necked Phalarope,0.1533
216.0,219.0,Phalaropus lobatus,Red-necked Phalarope,0.1374
217.5,220.5,Phalaropus lobatus,Red-necked Phalarope,0.2147
220.5,223.5,Phalaropus lobatus,Red-necked Phalarope,0.4644
222.0,225.0,Phalaropus lobatus,Red-necked Phalarope,0.1934
225.0,228.0,Phalaropus lobatus,Red-necked Phalarope,0.2691
226.5,229.5,Phalaropus lobatus,Red-necked Phalarope,0.4542
228.0,231.0,Phalaropus lobatus,Red-necked Phalarope,0.4591
229.5,232.5,Phalaropus lobatus,Red-necked Phalarope,0.2168
231.0,234.0,Phalaropus lobatus,Red-necked Phalarope,0.3580
232.5,235.5,Phalaropus lobatus,Red-necked Phalarope,0.8846
234.0,237.0,Phalaropus lobatus,Red-necked Phalarope,0.9346
235.5,238.5,Phalaropus lobatus,Red-necked Phalarope,0.9523
237.0,240.0,Phalaropus lobatus,Red-necked Phalarope,0.9648
238.5,241.5,Phalaropus lobatus,Red-necked Phalarope,0.8923
240.0,243.0,Phalaropus lobatus,Red-necked Phalarope,0.2712
241.5,244.5,Phalaropus lobatus,Red-necked Phalarope,0.4422
243.0,246.0,Phalaropus lobatus,Red-necked Phalarope,0.4100
244.5,247.5,Phalaropus lobatus,Red-necked Phalarope,0.4187
246.0,249.0,Phalaropus lobatus,Red-necked Phalarope,0.7399
247.5,250.5,Phalaropus lobatus,Red-necked Phalarope,0.2913
249.0,252.0,Phalaropus lobatus,Red-necked Phalarope,0.2422
253.5,256.5,Phalaropus lobatus,Red-necked Phalarope,0.3170
258.0,261.0,Phalaropus lobatus,Red-necked Phalarope,0.2397
262.5,265.5,Phalaropus lobatus,Red-necked Phalarope,0.7660
264.0,267.0,Phalaropus lobatus,Red-necked Phalarope,0.8559
265.5,268.5,Phalaropus lobatus,Red-necked Phalarope,0.6130
267.0,270.0,Phalaropus lobatus,Red-necked Phalarope,0.5423
268.5,271.5,Phalaropus lobatus,Red-necked Phalarope,0.7794
270.0,273.0,Phalaropus lobatus,Red-necked Phalarope,0.8391
271.5,274.5,Phalaropus lobatus,Red-necked Phalarope,0.8381
273.0,276.0,Phalaropus lobatus,Red-necked Phalarope,0.9376
274.5,277.5,Phalaropus lobatus,Red-necked Phalarope,0.6025
276.0,279.0,Phalaropus lobatus,Red-necked Phalarope,0.1324
277.5,280.5,Phalaropus lobatus,Red-necked Phalarope,0.2846
279.0,282.0,Phalaropus lobatus,Red-necked Phalarope,0.3028
