Start (s),End (s),Scientific name,Common name,Confidence
37.5,40.5,Branta hutchinsii,Cackling Goose,0.1604
39.0,42.0,Branta hutchinsii,Cackling Goose,0.3107
40.5,43.5,Branta hutchinsii,Cackling Goose,0.1649
42.0,45.0,Branta hutchinsii,Cackling Goose,0.3591
43.5,46.5,Branta hutchinsii,Cackling Goose,0.4004
45.0,48.0,Branta hutchinsii,Cackling Goose,0.5047
46.5,49.5,Branta hutchinsii,Cackling Goose,0.1773
63.0,66.0,Branta hutchinsii,Cackling Goose,0.4108
67.5,70.5,Anser caerulescens,Snow Goose,0.1829
70.5,73.5,Branta hutchinsii,Cackling Goose,0.3327
72.0,75.0,Branta hutchinsii,Cackling Goose,0.6761
73.5,76.5,Branta hutchinsii,Cackling Goose,0.3574
75.0,78.0,Branta hutchinsii,Cackling Goose,0.1794
76.5,79.5,Branta hutchinsii,Cackling Goose,0.7748
78.0,81.0,Branta hutchinsii,Cackling Goose,0.3153
79.5,82.5,Anser albifrons,Greater White-fronted Goose,0.1374
82.5,85.5,Anser albifrons,Greater White-fronted Goose,0.4324
82.5,85.5,Branta hutchinsii,Cackling Goose,0.1776
84.0,87.0,Anser albifrons,Greater White-fronted Goose,0.5971
84.0,87.0,Branta hutchinsii,Cackling Goose,0.1477
85.5,88.5,Branta hutchinsii,Cackling Goose,0.7915
85.5,88.5,Anser albifrons,Greater White-fronted Goose,0.6813
87.0,90.0,Branta hutchinsii,Cackling Goose,0.7584
87.0,90.0,Anser albifrons,Greater White-fronted Goose,0.2561
90.0,93.0,Anser albifrons,Greater White-fronted Goose,0.1055
142.5,145.5,Branta hutchinsii,Cackling Goose,0.8910
144.0,147.0,Branta hutchinsii,Cackling Goose,0.7890
153.0,156.0,Branta hutchinsii,Cackling Goose,0.4268
154.5,157.5,Anser albifrons,Greater White-fronted Goose,0.1896
154.5,157.5,Branta hutchinsii,Cackling Goose,0.1856
157.5,160.5,Branta hutchinsii,Cackling Goose,0.4459
159.0,162.0,Branta hutchinsii,Cackling Goose,0.1523
166.5,169.5,Branta hutchinsii,Cackling Goose,0.1773
168.0,171.0,Branta hutchinsii,Cackling Goose,0.4440
169.5,172.5,Branta hutchinsii,Cackling Goose,0.4263
