filename,start,stop,manSp,netSp,conf
AR70_20230613_120000.wav,0,300,"['na', 'nan']",nan,nan
20220621_073000.wav,0,300,"['LALO', 'nan'] , ['DUNL', 'nan'] , ['PALO', 'LALO', 'nan'] , ['PALO', 'nan'] , ['PALO', 'CACK', 'LALO', 'nan'] , ['CACK', 'LALO', 'nan'] , ['CACK', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['nan', 'GWFG'] , ['PAJA', 'nan', 'GWFG']",GWFG,0.9643
AR70_20230715_200000.wav,0,300,"['na', 'nan']",nan,nan
AR97_20230615_093000.wav,0,300,"['nan', 'GWFG'] , ['BBPL', 'nan', 'GWFG'] , ['BBPL', 'nan'] , ['WIPT', 'nan'] , ['DUNL', 'nan']",nan,nan
AR70_20230803_233000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230628_040000.wav,0,300,"['bbpl', 'nan']",nan,nan
20220621_130000.wav,0,300,"['LALO', 'nan'] , ['unkMF', 'nan'] , ['LALO', 'unkMF', 'nan'] , ['DUNL', 'nan']",nan,nan
AL33_20230716_053000.wav,0,300,"['sesa', 'nan'] , ['bbpl', 'nan']",nan,nan
20220617_170000.wav,0,300,"['phalarope', 'nan'] , ['PESA', 'phalarope', 'nan'] , ['phalarope', 'LALO', 'nan'] , ['LALO', 'nan'] , ['SESA', 'phalarope', 'nan'] , ['SESA', 'nan'] , ['SESA', 'motor', 'nan'] , ['PESA', 'SESA', 'motor', 'nan'] , ['motor', 'nan']",phalarope,0.9989
AR93_20230723_043000.wav,0,300,"['unkLF', 'nan']",ROPT,0.9407
AL64_20230612_133000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['nan', 'GWFG']",nan,nan
AL33_20230613_180000.wav,0,300,"['lalo', 'nan']",nan,nan
AR93_20230708_083000.wav,0,300,"['na', 'nan']",nan,nan
AR23_20230614_100000.wav,0,300,"['WIPT', 'nan'] , ['PALO', 'nan'] , ['WIPT', 'PALO', 'nan']",nan,nan
AR97_20230615_100000.wav,0,300,"['nan', 'GWFG'] , ['RTLO', 'nan'] , ['phalarope', 'RTLO', 'nan'] , ['PALO', 'phalarope', 'RTLO', 'nan'] , ['PALO', 'RTLO', 'nan'] , ['PALO', 'LBDO', 'RTLO', 'nan'] , ['LBDO', 'RTLO', 'nan'] , ['LBDO', 'nan'] , ['PALO', 'nan'] , ['BBPL', 'RTLO', 'nan']",BARG,0.5315
AL33_20230805_153000.wav,0,300,"['unknown', 'nan'] , ['gull', 'nan'] , ['gwfg', 'nan'] , ['bbpl', 'nan']",BARG,0.2541
AR91_20230613_100000.wav,0,300,"['phalarope', 'nan'] , ['LBDO', 'nan'] , ['nan', 'GWFG']",nan,nan
AL33_20230708_033000.wav,0,300,"['unknown', 'nan'] , ['BARG', 'nan'] , ['palo', 'nan'] , ['bbpl', 'nan'] , ['bbpl', 'BARG', 'nan'] , ['BARG', 'bbpl', 'nan']",nan,nan
AR93_20230716_160000.wav,0,300,"['na', 'nan']",nan,nan
20220617_070000.wav,0,300,"['LALO', 'nan'] , ['phalarope', 'nan'] , ['DUNL', 'nan'] , ['nan', 'GWFG'] , ['nan', 'DUNL', 'GWFG'] , ['nan', 'AMGP'] , ['GWFG', 'nan', 'AMGP'] , ['nan', 'DUNL', 'AMGP'] , ['LALO', 'nan', 'GWFG']",nan,nan
AR02_20220617_130000.wav,0,300,"['SAVS', 'nan']",SAVS,0.8283
20220606_190000.wav,0,300,"['DUNL', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['LALO', 'nan']",nan,nan
AR91_20230614_150000.wav,0,300,"['LBDO', 'nan'] , ['LBDO', 'nan', 'GWFG'] , ['nan', 'GWFG'] , ['LALO', 'nan'] , ['LALO', 'nan', 'GWFG']","LBDO , GWFG","0.3511,0.9202"
B78_20230613_063000.wav,0,300,"['WIPT', 'nan'] , ['nan', 'GWFG']",nan,nan
B81_20230612_120000.wav,0,300,"['phalarope', 'nan'] , ['PESA', 'nan'] , ['WIPT', 'nan'] , ['WIPT', 'PALO', 'nan'] , ['PALO', 'nan']",SEOW,0.3356
AR81_20230613_053000.wav,0,300,"['BBPL', 'nan'] , ['LBDO', 'nan']",nan,nan
AL57_20230613_013000.wav,0,300,"['LALO', 'nan'] , ['nan', 'GWFG'] , ['PALO', 'nan'] , ['STSA', 'nan'] , ['CACK', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['PALO', 'LALO', 'nan'] , ['RTLO', 'nan']",nan,nan
AR105_20220612_180000.wav,0,300,"['LALO', 'nan'] , ['nan', 'GWFG']",nan,nan
AR70_20230718_103000.wav,0,300,"['na', 'nan']",nan,nan
AR91_20230613_103000.wav,0,300,"['LBDO', 'nan', 'GWFG'] , ['nan', 'GWFG'] , ['LBDO', 'nan'] , ['PAJA', 'LBDO', 'nan'] , ['PAJA', 'nan']",nan,nan
AR87_20230614_023000.wav,0,300,"['nan', 'GWFG'] , ['BBPL', 'nan'] , ['BBPL', 'nan', 'GWFG'] , ['LBDO', 'nan'] , ['PESA', 'nan'] , ['PESA', 'LBDO', 'nan'] , ['LBDO', 'nan', 'GWFG']",GWFG,0.918
AL35_20230608_173000.wav,0,300,"['wipt', 'nan'] , ['lalo', 'wipt', 'nan'] , ['lalo', 'nan'] , ['savs', 'nan'] , ['wipt', 'savs', 'nan']",nan,nan
AR91_20230613_083000.wav,0,300,"['RTLO', 'nan'] , ['nan', 'GWFG'] , ['LBDO', 'nan', 'GWFG']",GWFG,0.2951
AL73_20230613_163000.wav,0,300,"['LALO', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['DUNL', 'nan'] , ['nan', 'GWFG']",nan,nan
AR93_20230709_233000.wav,0,300,"['insect', 'nan']",nan,nan
AR11_20220609_110000.wav,0,300,"['LALO', 'nan'] , ['WIPT', 'nan']",nan,nan
AL35_20230603_203000.wav,0,300,"['redpoll', 'nan'] , ['lalo', 'nan'] , ['wipt', 'redpoll', 'nan']",redpoll,0.4311
AR93_20230717_200000.wav,0,300,"['AMGP', 'nan']",nan,nan
AR70_20230716_180000.wav,0,300,"['na', 'nan']",nan,nan
AL35_20230604_143000.wav,0,300,"['lalo', 'nan'] , ['wipt', 'nan'] , ['wipt', 'unknown', 'nan'] , ['unknown', 'nan'] , ['lalo', 'gwfg', 'nan'] , ['gwfg', 'nan'] , ['lalo', 'wipt', 'nan'] , ['BARG', 'nan'] , ['gwfg', 'BARG', 'nan'] , ['lalo', 'BARG', 'nan']",BARG,0.5084
20220616_133000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'LALO', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['PESA', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['PESA', 'LALO', 'DUNL', 'nan']",PESA,0.6674
AR18_20220626_073000.wav,0,300,"['RTLO', 'nan'] , ['LALO', 'nan']",nan,nan
AR53_20230613_143000.wav,0,300,"['LALO', 'nan'] , ['nan', 'AMGP'] , ['PALO', 'nan'] , ['WIPT', 'nan'] , ['WIPT', 'PALO', 'nan'] , ['WIPT', 'LALO', 'nan'] , ['DUNL', 'nan']",SEOW,0.5156
