spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
UPSA,,0.01734,0.0,,0.01734,0.0,,0.01734,0.0,,0.00867,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
SESA,0.25,0.00318,0.88889,0.25,0.00318,0.88889,0.21875,0.0,1.0,0.21875,0.0,1.0,0.15625,0.0,1.0,0.15625,0.0,1.0,0.15625,0.0,1.0,0.125,0.0,1.0,0.125,0.0,1.0,0.125,0.0,1.0,0.125,0.0,1.0,0.125,0.0,1.0,0.125,0.0,1.0,0.09375,0.0,1.0,0.09375,0.0,1.0,0.09375,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0,0.0,
WESA,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
RUTU,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
LESA,,0.0289,0.0,,0.0289,0.0,,0.02312,0.0,,0.01445,0.0,,0.01445,0.0,,0.01156,0.0,,0.00578,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
SNBU,,0.01734,0.0,,0.01734,0.0,,0.01445,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
MALL,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
DUNL,0.17241,0.00347,0.90909,0.17241,0.00347,0.90909,0.13793,0.00347,0.88889,0.10345,0.00347,0.85714,0.06897,0.0,1.0,0.06897,0.0,1.0,0.03448,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Calcariuspictus,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
SEOW,,0.01156,0.0,,0.01156,0.0,,0.01156,0.0,,0.00867,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
